Mes,UsuariosNuevos,Estacion,Año,Semana
1,22,Invierno,2014,1
2,28,Invierno,2014,5
3,35,Primavera,2014,9
4,38,Primavera,2014,13
5,32,Primavera,2014,17
6,41,Verano,2014,22
7,44,Verano,2014,26
8,35,Otoño,2014,30
9,38,Otoño,2014,34
10,43,Otoño,2014,38
11,25,Invierno,2014,44
12,32,Invierno,2014,48
1,23,Invierno,2015,1
2,29,Invierno,2015,6
3,37,Primavera,2015,11
4,40,Primavera,2015,15
5,34,Primavera,2015,19
6,43,Verano,2015,25
7,46,Verano,2015,29
8,37,Otoño,2015,34
9,40,Otoño,2015,38
10,45,Otoño,2015,42
11,26,Invierno,2015,47
12,33,Invierno,2015,51
1,24,Invierno,2016,1
2,30,Invierno,2016,5
3,39,Primavera,2016,9
4,42,Primavera,2016,13
5,36,Primavera,2016,17
6,45,Verano,2016,22
7,48,Verano,2016,26
8,39,Otoño,2016,30
9,42,Otoño,2016,34
10,47,Otoño,2016,38
11,27,Invierno,2016,44
12,35,Invierno,2016,48
1,25,Invierno,2017,1
2,32,Invierno,2017,6
3,41,Primavera,2017,11
4,44,Primavera,2017,15
5,38,Primavera,2017,19
6,47,Verano,2017,25
7,50,Verano,2017,29
8,41,Otoño,2017,34
9,44,Otoño,2017,38
10,49,Otoño,2017,42
11,28,Invierno,2017,47
12,37,Invierno,2017,51
1,26,Invierno,2018,1
2,34,Invierno,2018,5
3,43,Primavera,2018,9
4,46,Primavera,2018,13
5,40,Primavera,2018,17
6,49,Verano,2018,22
7,53,Verano,2018,26
8,43,Otoño,2018,30
9,46,Otoño,2018,34
10,52,Otoño,2018,38
11,29,Invierno,2018,44
12,39,Invierno,2018,48
1,27,Invierno,2019,1
2,36,Invierno,2019,6
3,45,Primavera,2019,11
4,48,Primavera,2019,15
5,42,Primavera,2019,19
6,52,Verano,2019,25
7,56,Verano,2019,29
8,45,Otoño,2019,34
9,48,Otoño,2019,38
10,55,Otoño,2019,42
11,31,Invierno,2019,47
12,41,Invierno,2019,51
1,28,Invierno,2020,1
2,38,Invierno,2020,5
3,47,Primavera,2020,9
4,50,Primavera,2020,13
5,44,Primavera,2020,17
6,55,Verano,2020,22
7,59,Verano,2020,26
8,47,Otoño,2020,30
9,50,Otoño,2020,34
10,58,Otoño,2020,38
11,33,Invierno,2020,44
12,43,Invierno,2020,48
1,29,Invierno,2021,1
2,40,Invierno,2021,6
3,49,Primavera,2021,11
4,53,Primavera,2021,15
5,46,Primavera,2021,19
6,58,Verano,2021,25
7,62,Verano,2021,29
8,49,Otoño,2021,34
9,53,Otoño,2021,38
10,61,Otoño,2021,42
11,35,Invierno,2021,47
12,45,Invierno,2021,50
1,31,Invierno,2022,1
2,42,Invierno,2022,5
3,52,Primavera,2022,9
4,56,Primavera,2022,13
5,48,Primavera,2022,17
6,61,Verano,2022,22
7,65,Verano,2022,26
8,52,Otoño,2022,30
9,56,Otoño,2022,34
10,64,Otoño,2022,38
11,37,Invierno,2022,44
12,47,Invierno,2022,48
1,35,Invierno,2023,1
2,45,Invierno,2023,5
3,55,Primavera,2023,9
4,60,Primavera,2023,13
5,50,Primavera,2023,17
6,65,Verano,2023,22
7,70,Verano,2023,26
8,55,Otoño,2023,30
9,60,Otoño,2023,34
10,68,Otoño,2023,38
11,40,Invierno,2023,44
12,50,Invierno,2023,48
1,40,Invierno,2024,1
2,48,Invierno,2024,6
3,58,Primavera,2024,11
4,62,Primavera,2024,15
5,53,Primavera,2024,19
6,68,Verano,2024,25
7,73,Verano,2024,29
8,59,Otoño,2024,34
9,65,Otoño,2024,38
10,56,Otoño,2024,42
11,45,Invierno,2024,47
12,31,Invierno,2024,51
