Mes,UsuariosNuevos,Estacion,Año
1,8,Invierno,1800
2,8,Invierno,1800
3,10,Primavera,1800
4,10,Primavera,1800
5,10,Primavera,1800
6,12,Verano,1800
7,12,Verano,1800
8,12,Verano,1800
9,10,Otoño,1800
10,10,Otoño,1800
11,10,Otoño,1800
12,8,Invierno,1800
1,8,Invierno,1801
2,8,Invierno,1801
3,10,Primavera,1801
4,10,Primavera,1801
5,10,Primavera,1801
6,12,Verano,1801
7,12,Verano,1801
8,12,Verano,1801
9,10,Otoño,1801
10,10,Otoño,1801
11,10,Otoño,1801
12,8,Invierno,1801
1,8,Invierno,1802
2,8,Invierno,1802
3,10,Primavera,1802
4,10,Primavera,1802
5,10,Primavera,1802
6,12,Verano,1802
7,12,Verano,1802
8,12,Verano,1802
9,10,Otoño,1802
10,10,Otoño,1802
11,10,Otoño,1802
12,8,Invierno,1802
1,8,Invierno,1803
2,8,Invierno,1803
3,11,Primavera,1803
4,11,Primavera,1803
5,11,Primavera,1803
6,13,Verano,1803
7,13,Verano,1803
8,13,Verano,1803
9,11,Otoño,1803
10,11,Otoño,1803
11,11,Otoño,1803
12,8,Invierno,1803
1,9,Invierno,1804
2,9,Invierno,1804
3,11,Primavera,1804
4,11,Primavera,1804
5,11,Primavera,1804
6,13,Verano,1804
7,13,Verano,1804
8,13,Verano,1804
9,11,Otoño,1804
10,11,Otoño,1804
11,11,Otoño,1804
12,9,Invierno,1804
1,9,Invierno,1805
2,9,Invierno,1805
3,11,Primavera,1805
4,11,Primavera,1805
5,11,Primavera,1805
6,13,Verano,1805
7,13,Verano,1805
8,13,Verano,1805
9,11,Otoño,1805
10,11,Otoño,1805
11,11,Otoño,1805
12,9,Invierno,1805
1,9,Invierno,1806
2,9,Invierno,1806
3,11,Primavera,1806
4,11,Primavera,1806
5,11,Primavera,1806
6,14,Verano,1806
7,14,Verano,1806
8,14,Verano,1806
9,11,Otoño,1806
10,11,Otoño,1806
11,11,Otoño,1806
12,9,Invierno,1806
1,9,Invierno,1807
2,9,Invierno,1807
3,11,Primavera,1807
4,11,Primavera,1807
5,11,Primavera,1807
6,14,Verano,1807
7,14,Verano,1807
8,14,Verano,1807
9,11,Otoño,1807
10,11,Otoño,1807
11,11,Otoño,1807
12,9,Invierno,1807
1,9,Invierno,1808
2,9,Invierno,1808
3,12,Primavera,1808
4,12,Primavera,1808
5,12,Primavera,1808
6,14,Verano,1808
7,14,Verano,1808
8,14,Verano,1808
9,12,Otoño,1808
10,12,Otoño,1808
11,12,Otoño,1808
12,9,Invierno,1808
1,10,Invierno,1809
2,10,Invierno,1809
3,12,Primavera,1809
4,12,Primavera,1809
5,12,Primavera,1809
6,14,Verano,1809
7,14,Verano,1809
8,14,Verano,1809
9,12,Otoño,1809
10,12,Otoño,1809
11,12,Otoño,1809
12,10,Invierno,1809
1,10,Invierno,1810
2,10,Invierno,1810
3,12,Primavera,1810
4,12,Primavera,1810
5,12,Primavera,1810
6,15,Verano,1810
7,15,Verano,1810
8,15,Verano,1810
9,12,Otoño,1810
10,12,Otoño,1810
11,12,Otoño,1810
12,10,Invierno,1810
1,10,Invierno,1811
2,10,Invierno,1811
3,12,Primavera,1811
4,12,Primavera,1811
5,12,Primavera,1811
6,15,Verano,1811
7,15,Verano,1811
8,15,Verano,1811
9,12,Otoño,1811
10,12,Otoño,1811
11,12,Otoño,1811
12,10,Invierno,1811
1,10,Invierno,1812
2,10,Invierno,1812
3,13,Primavera,1812
4,13,Primavera,1812
5,13,Primavera,1812
6,15,Verano,1812
7,15,Verano,1812
8,15,Verano,1812
9,13,Otoño,1812
10,13,Otoño,1812
11,13,Otoño,1812
12,10,Invierno,1812
1,10,Invierno,1813
2,10,Invierno,1813
3,13,Primavera,1813
4,13,Primavera,1813
5,13,Primavera,1813
6,16,Verano,1813
7,16,Verano,1813
8,16,Verano,1813
9,13,Otoño,1813
10,13,Otoño,1813
11,13,Otoño,1813
12,10,Invierno,1813
1,11,Invierno,1814
2,11,Invierno,1814
3,13,Primavera,1814
4,13,Primavera,1814
5,13,Primavera,1814
6,16,Verano,1814
7,16,Verano,1814
8,16,Verano,1814
9,13,Otoño,1814
10,13,Otoño,1814
11,13,Otoño,1814
12,11,Invierno,1814
1,11,Invierno,1815
2,11,Invierno,1815
3,13,Primavera,1815
4,13,Primavera,1815
5,13,Primavera,1815
6,16,Verano,1815
7,16,Verano,1815
8,16,Verano,1815
9,13,Otoño,1815
10,13,Otoño,1815
11,13,Otoño,1815
12,11,Invierno,1815
1,11,Invierno,1816
2,11,Invierno,1816
3,14,Primavera,1816
4,14,Primavera,1816
5,14,Primavera,1816
6,16,Verano,1816
7,16,Verano,1816
8,16,Verano,1816
9,14,Otoño,1816
10,14,Otoño,1816
11,14,Otoño,1816
12,11,Invierno,1816
1,11,Invierno,1817
2,11,Invierno,1817
3,14,Primavera,1817
4,14,Primavera,1817
5,14,Primavera,1817
6,17,Verano,1817
7,17,Verano,1817
8,17,Verano,1817
9,14,Otoño,1817
10,14,Otoño,1817
11,14,Otoño,1817
12,11,Invierno,1817
1,11,Invierno,1818
2,11,Invierno,1818
3,14,Primavera,1818
4,14,Primavera,1818
5,14,Primavera,1818
6,17,Verano,1818
7,17,Verano,1818
8,17,Verano,1818
9,14,Otoño,1818
10,14,Otoño,1818
11,14,Otoño,1818
12,11,Invierno,1818
1,12,Invierno,1819
2,12,Invierno,1819
3,15,Primavera,1819
4,15,Primavera,1819
5,15,Primavera,1819
6,17,Verano,1819
7,17,Verano,1819
8,17,Verano,1819
9,15,Otoño,1819
10,15,Otoño,1819
11,15,Otoño,1819
12,12,Invierno,1819
1,12,Invierno,1820
2,12,Invierno,1820
3,15,Primavera,1820
4,15,Primavera,1820
5,15,Primavera,1820
6,18,Verano,1820
7,18,Verano,1820
8,18,Verano,1820
9,15,Otoño,1820
10,15,Otoño,1820
11,15,Otoño,1820
12,12,Invierno,1820
1,12,Invierno,1821
2,12,Invierno,1821
3,15,Primavera,1821
4,15,Primavera,1821
5,15,Primavera,1821
6,18,Verano,1821
7,18,Verano,1821
8,18,Verano,1821
9,15,Otoño,1821
10,15,Otoño,1821
11,15,Otoño,1821
12,12,Invierno,1821
